Topic,Count,Name,Representation,Representative_Docs
70,30,70_绘本_专业_人物_学院,"['绘本', '专业', '人物', '学院', '一笔一画', '早期教育', '自制', '辛苦工作', '学前教育', '指导']","['抗疫 绘本 高校学生 手绘 抗疫 插画 致敬 逆 行者 新年伊始 陕西 咸阳 职业 技术 学院 20 级 学前教育 专业 19 级 早期教育 专业 学生 指导 教师 李汶轩 邵蕾 远程 指导 一线 防疫 人员 志愿者 素材 历时 五天 一笔一画 自制 抗疫 绘本 展现 防疫 工作者 辛苦工作 瞬间 号召 配合 疫情 防控 工作 \u200b', '西安 加油 抗疫 绘本 高校学生 手绘 抗疫 插画 致敬 逆 行者 新年伊始 陕西 咸阳 职业 技术 学院 20 级 学前教育 专业 19 级 早期教育 专业 学生 指导 教师 李汶轩 邵蕾 远程 指导 一线 防疫 人员 志愿者 素材 历时 五天 一笔一画 自制 抗疫 绘本 展现 防疫 工作者 辛苦工作 瞬间 号召 配合 疫 \u200b', '西安 加油 抗疫 绘本 高校学生 手绘 抗疫 插画 致敬 逆 行者 新年伊始 陕西 咸阳 职业 技术 学院 20 级 学前教育 专业 19 级 早期教育 专业 学生 指导 教师 李汶轩 邵蕾 远程 指导 一线 防疫 人员 志愿者 素材 历时 五天 一笔一画 自制 抗疫 绘本 展现 防疫 工作者 辛苦工作 瞬间 号召 配合 疫 \u200b']"
71,30,71_强光_耀眼_地平线_晃动,"['强光', '耀眼', '地平线', '晃动', '半边', '白光', '照亮', '天空', '专家', '现象']","['专家 解读 青海 地震 前 地平线 现 耀眼 强光 月 日 01 时 45 分 青海 门源 县 发生 6.9 级 地震 青海 地震 前 地平线 耀眼 强光 瞬间 照亮 半边 天空 晃动 网友 猜测 地震 光 专家 尚 确认 地震 光 地震 光 成因 诸多 推测 争议 L 海客 新闻 微博 视频 \u200b \u200b \u200b', '专家 解读 青海 地震 前 地平线 现 耀眼 强光 月 日 01 时 45 分 青海 门源 县 发生 6.9 级 地震 青海 地震 前 地平线 耀眼 强光 瞬间 照亮 半边 天空 晃动 网友 猜测 地震 光 专家 尚 确认 地震 光 地震 光 成因 诸多 推测 争议 L 海客 新闻 微博 视频 \u200b', '青海 地震 前 地平线 耀眼 强光 专家 回应 青海 地震 前现 耀眼 强光 尚 确认 地震 光 月 日 01 时 45 分 青海 门源 6.9 级 地震 监拍 青海 海北 地震 前 一秒 地平线 耀眼 强光 瞬间 照亮 半边 天空 晃动 网友 发布 视频 显示 地震 前 地平线 方向 发出 耀眼 白光 网友 猜测 地震 光 专家 \u200b']"
72,30,72_机制_平安_第一_响应,"['机制', '平安', '第一', '响应', '启动', '公安', '时间', '应急', '交警', '青海']","['青海 门源 6.9 级 地震 青海 公安 第一 时间 启动 应急 响应 机制 平安 2022 \u200b \u200b \u200b', '青海 门源 6.9 级 地震 青海 公安 第一 时间 启动 应急 响应 机制 平安 2022 \u200b \u200b \u200b \u200b \u200b \u200b', '青海 门源 6.9 级 地震 青海 公安 第一 时间 启动 应急 响应 机制 平安 2022']"
73,30,73_收费站_春运_道路交通_春运期间,"['收费站', '春运', '道路交通', '春运期间', '交警', '高速', '关闭', '出行', '国道', '交通']","['陕西 发布 春运 道路交通 预警 收费站 出入口 封闭 2022 年 春运 月 17 日 月 25 日 结束 受 疫情 影响 陕西省 多地 道路交通 管控 措施 疫情 防控 形势 趋于平稳 西安 疫情 呈 动态 下降 态势 风险 区域 减少 出行 释放 陕西 交警 春运期间 陕西 交通 形势 \u200b', '陕西 发布 春运 道路交通 预警 收费站 出入口 封闭 2022 年 春运 月 17 日 月 25 日 结束 受 疫情 影响 陕西省 多地 道路交通 管控 措施 疫情 防控 形势 趋于平稳 西安 疫情 呈 动态 下降 态势 风险 区域 减少 出行 释放 陕西 交警 春运期间 陕西 交通 形势 \u200b', '陕西 发布 春运 道路交通 预警 收费站 出入口 封闭 2022 年 春运 月 17 日 月 25 日 结束 受 疫情 影响 陕西省 多地 道路交通 管控 措施 疫情 防控 形势 趋于平稳 西安 疫情 呈 动态 下降 态势 风险 区域 减少 出行 释放 陕西省 公安厅 交警 总队 春运期间 陕西 \u200b']"
74,30,74_155_高位_1573_百例,"['155', '高位', '1573', '百例', '连续', '最高值', '八天', '1598', '151', '175']","['西安 连续 天 新增 超 百例 12 月 25 日 西安 连续 天 本土 确诊 病例 数 155 150 175 151 155 例 高位 状态 27 日 最高值 一周 高位 连续 八天 单日 新增 超 百例 陕西省 累计 报告 本土 确诊 病例 1598 例 西安市 1573 例 西安 本轮 疫情 累计 确诊 1573 例 \u200b', '西安 连续 天 新增 超 百例 12 月 25 日 西安 连续 天 本土 确诊 病例 数 155 150 175 151 155 例 高位 状态 27 日 最高值 一周 高位 连续 八天 单日 新增 超 百例 陕西省 累计 报告 本土 确诊 病例 1598 例 西安市 1573 例 西安 本轮 疫情 累计 确诊 1573 例 \u200b', '西安 连续 天 新增 超 百例 12 月 25 日 西安 连续 天 本土 确诊 病例 数 155 150 175 151 155 例 高位 状态 27 日 最高值 一周 高位 连续 八天 单日 新增 超 百例 陕西省 累计 报告 本土 确诊 病例 1598 例 西安市 1573 例 西安 本轮 疫情 累计 确诊 1573 例 \u200b']"
75,30,75_秦朝_铁人三项_一统_为啥,"['秦朝', '铁人三项', '一统', '为啥', '管控', '14', '后人', '哀之而', '而复', '自哀']","['完 陕西 铁人三项 秦 一统 六 国 完 疫情 管控 为啥 秦朝 14 年', '完 陕西 铁人三项 秦 一统 六 国 完 疫情 管控 为啥 秦朝 14 年', '完 陕西 铁人三项 秦 一统 六 国 完 疫情 管控 为啥 秦朝 14 年']"
76,29,76_治愈_康复_医院_胸科,"['治愈', '康复', '医院', '胸科', '以轻症', '1444', '增加', '普通型', '秦皇', '转入']","['西安 治愈 病例 增加 例 月 日 记者 西安市 新冠 肺炎 疫情 防控 工作 新闻 发布会 43 场 治愈 均 转入 西安 秦皇 医院 接受 健康 监测 隔离 康复 现有 1444 例 确诊 病例 市 胸科 医院 市 第四 医院 航天 院区 长安区 医院 隔离 治疗 患者 总体 以轻症 普通型 危重 型 例 重型 \u200b', '西安 治愈 病例 增加 例 月 日 记者 西安市 新冠 肺炎 疫情 防控 工作 新闻 发布会 43 场 治愈 均 转入 西安 秦皇 医院 接受 健康 监测 隔离 康复 现有 1444 例 确诊 病例 市 胸科 医院 市 第四 医院 航天 院区 长安区 医院 隔离 治疗 患者 总体 以轻症 普通型 危重 型 例 重型 \u200b', '西安 治愈 病例 增加 例 月 日 记者 西安市 新冠 肺炎 疫情 防控 工作 新闻 发布会 43 场 治愈 均 转入 西安 秦皇 医院 接受 健康 监测 隔离 康复 现有 1444 例 确诊 病例 市 胸科 医院 市 第四 医院 航天 院区 长安区 医院 隔离 治疗 患者 总体 以轻症 普通型 危重 型 例 重型 \u200b']"
77,29,77_扫尾_连续_社会_第四十四,"['扫尾', '连续', '社会', '第四十四', '阶段', '场新冠', '党组', '成员', '光辉', '卫生']","['西安市 连续 天 社会 面 病例 零 发生 ## 陕西 本轮 疫情 扫尾 阶段 月 15 日 下午 陕西省 第四十四 场新冠 肺炎 疫情 防控 工作 情况 新闻 发布会 介绍 近期 陕西省 疫情 防控 工作 情况 月 10 日 西安市 连续 天 社会 面 病例 零 发生 陕西省 卫生 健康 委 党组 成员 副 主任 马 光辉 介绍 \u200b', '西安市 连续 天 社会 面 病例 零 发生 ## 陕西 本轮 疫情 扫尾 阶段 月 15 日 下午 陕西省 第四十四 场新冠 肺炎 疫情 防控 工作 情况 新闻 发布会 介绍 近期 陕西省 疫情 防控 工作 情况 月 10 日 西安市 连续 天 社会 面 病例 零 发生 陕西省 卫生 健康 委 党组 成员 副 主任 马 光辉 介绍 \u200b', '西安市 连续 天 社会 面 病例 零 发生 ## 陕西 本轮 疫情 扫尾 阶段 月 15 日 下午 陕西省 第四十四 场新冠 肺炎 疫情 防控 工作 情况 新闻 发布会 介绍 近期 陕西省 疫情 防控 工作 情况 月 10 日 西安市 连续 天 社会 面 病例 零 发生 陕西省 卫生 健康 委 党组 成员 副 主任 马 光辉 介绍 \u200b']"
78,29,78_取药_厨房_一千块_男子,"['取药', '厨房', '一千块', '男子', '特意', '一沓', '饭菜', '扔下', '拿出', '许先生']","['男子 取药 爱心 厨房 扔下 钱 跑 西安 男子 孩子 取药 爱心 厨房 里 扔 一千块 钱 中国 2022 年 月 日 陕西 西安 一名 男子 坐 120 救护车 医院 长期 治疗 孩子 取药 特意 来到 疫情 期间 免费 人群 提供 饭菜 抗癌 厨房 拿出 一沓 钱 厨房 负责人 视频 发布者 许先生 介绍 大哥 一千块 钱 \u200b', '男子 取药 爱心 厨房 扔下 钱 跑 西安 男子 孩子 取药 爱心 厨房 里 扔 一千块 钱 中国 2022 年 月 日 陕西 西安 一名 男子 坐 120 救护车 医院 长期 治疗 孩子 取药 特意 来到 疫情 期间 免费 人群 提供 饭菜 抗癌 厨房 拿出 一沓 钱 厨房 负责人 视频 发布者 许先生 介绍 大哥 一千块 钱 \u200b', '男子 取药 爱心 厨房 扔下 钱 跑 西安 男子 孩子 取药 爱心 厨房 里 扔 一千块 钱 中国 2022 年 月 日 陕西 西安 一名 男子 坐 120 救护车 医院 长期 治疗 孩子 取药 特意 来到 疫情 期间 免费 人群 提供 饭菜 抗癌 厨房 拿出 一沓 钱 厨房 负责人 视频 发布者 许先生 介绍 大哥 一千块 钱 \u200b']"
79,29,79_00_直播_命令_融媒大,"['00', '直播', '命令', '融媒大', '全天候', '责任', '三套', '二套', '特别节目', '电视频道']","['全天候 直播 | 疫情 命令 防控 责任 融媒大 直播 月 日 陕西 广电 融 媒体 集团 陕西 卫视 陕西 一套 二套 三套 电视频道 同步 推出 疫情 命令 防控 责任 直播 特别节目 00 00 10 00 13 00 16 00 21 00 三个 时段 小时 持续 报道 我省 打赢 疫情 防控 歼灭战 坚定信心 实 \u200b', '全天候 直播 丨 疫情 命令 防控 责任 融媒大 直播 月 日 陕西 广电 融 媒体 集团 陕西 卫视 陕西 一套 二套 三套 电视频道 同步 推出 疫情 命令 防控 责任 直播 特别节目 00 00 10 00 13 00 16 00 21 00 三个 时段 小时 持续 报道 我省 打赢 疫情 防控 歼灭战 坚定信心 \u200b', '全天候 直播 丨 疫情 命令 防控 责任 融媒大 直播 月 日 陕西 广电 融 媒体 集团 陕西 卫视 陕西 一套 二套 三套 电视频道 同步 推出 疫情 命令 防控 责任 直播 特别节目 00 00 10 00 13 00 16 00 21 00 三个 时段 小时 持续 报道 我省 打赢 疫情 防控 歼灭战 坚定信心 实 \u200b']"
80,28,80_超级_传播者_43_排毒,"['超级', '传播者', '43', '排毒', '早期', '较强', '能力', '感染', '日到', '密切接触']","['西安 传 43 超级 传播者 感染 早期 排毒 能力 较强 西安 传 43 陕西省 卫健委 发布 数据 月 日到 月 日 43 病例 月 日 发布 确诊 病例 密切接触 超级 传播者 是因为 超级 传播者 发现 处于 感染 早期 排毒 能力 较强 陕西 疫情 防控 \u200b', '西安 传 43 超级 传播者 感染 早期 排毒 能力 较强 西安 传 43 陕西省 卫健委 发布 数据 月 日到 月 日 43 病例 月 日 发布 确诊 病例 密切接触 超级 传播者 是因为 超级 传播者 发现 处于 感染 早期 排毒 能力 较强 陕西 疫情 防控 \u200b', '陕西 疫情 防控 超级 传播者 感染 早期 排毒 能力 较强 西安 传 43 陕西省 卫健委 发布 数据 月 日到 月 日 43 病例 月 日 发布 确诊 病例 密切接触 超级 传播者 是因为 超级 传播者 发现 处于 感染 早期 排毒 能力 较强 \u200b']"
81,28,81_营业_复产_小哥_推进,"['营业', '复产', '小哥', '推进', '保供', '复工', '业主', '配送', '采购', '到岗率']","['西安 有序 推进 复工 复产 西安 疫情 形势 西安市 商务局 加快 督促 协助 重点 保供 企业 复工 复产 除米 面 粮 油 菜 生活 物资 重点 推进 日常 生活用品 熟食 保供 全市 便利店 营业 员工 到岗率 60% 商超 营业 率达 70% 西安 防疫 感恩 陕西 广电 融 媒体 集团 \u200b', '西安 有序 推进 复工 复产 西安 疫情 形势 西安市 商务局 加快 督促 协助 重点 保供 企业 复工 复产 除米 面 粮 油 菜 生活 物资 重点 推进 日常 生活用品 熟食 保供 全市 便利店 营业 员工 到岗率 60% 商超 营业 率达 70% 西安 防疫 感恩 陕西 广电 融 媒体 集团 \u200b', '西安 有序 推进 复工 复产 西安 疫情 形势 西安市 商务局 加快 督促 协助 重点 保供 企业 复工 复产 除米 面 粮 油 菜 生活 物资 重点 推进 日常 生活用品 熟食 保供 全市 便利店 营业 员工 到岗率 60% 商超 营业 率达 70% 西安 防疫 感恩 陕西 广电 融 媒体 集团 \u200b']"
82,28,82_未央区_秩序_生产_恢复,"['未央区', '秩序', '生产', '恢复', '有序', '通告', '生活', '经区', '全区', '现将']","['西安 未央区 有序 恢复 生产 生活 秩序 O \xa0 15 日 时起 天 户 外出 采购 月 14 日 西安市 未央区 发布 有序 恢复 生产 生活 秩序 通告 全文如下 陕西 调整 防控 政策 未央区 市民 朋友 经区 疫情 防控 指挥部 研究 有序 恢复 全区 生产 生活 秩序 现将 防控 措施 通告 2022 年 月 15 日 零时 \u200b', '西安 未央区 有序 恢复 生产 生活 秩序 O \xa0 15 日 时起 天 户 外出 采购 月 14 日 西安市 未央区 发布 有序 恢复 生产 生活 秩序 通告 全文如下 陕西 调整 防控 政策 未央区 市民 朋友 经区 疫情 防控 指挥部 研究 有序 恢复 全区 生产 生活 秩序 现将 防控 措施 通告 2022 年 月 15 日 零时 \u200b', '未央区 西安 未央区 有序 恢复 生产 生活 秩序 \xa0 月 14 日 西安市 未央区 发布 有序 恢复 生产 生活 秩序 通告 全文 入下 陕西 调整 防控 政策 未央区 市民 朋友 经区 疫情 防控 指挥部 研究 有序 恢复 全区 生产 生活 秩序 现将 防控 措施 通告 2022 年 月 15 日 零时 天 \u200b']"
83,28,83_42_北纬_东经_分在,"['42', '北纬', '东经', '分在', '测定', '正式', '千米', '37', '101', '台网']","['青海 海北 州 门源 县 发生 4.0 级 地震 中国 地震 台网 正式 测定 月 13 日 时 17 分在 青海 海北 州 门源 县 北纬 37.76 度 东经 101.42 度 发生 4.0 级 地震 震源 深度 千米 \u200b', '青海 海北 州 门源 县 发生 4.0 级 地震 中国 地震 台网 正式 测定 月 13 日 时 17 分在 青海 海北 州 门源 县 北纬 37.76 度 东经 101.42 度 发生 4.0 级 地震 震源 深度 千米 \u200b', '青海 地震 青海 海北 州 门源 县 发生 3.2 级 地震 中国 地震 台网 正式 测定 01 月 10 日 15 时 21 分在 青海 海北 州 门源 县 北纬 37.76 度 东经 101.42 度 发生 3.2 级 地震 震源 深度 10 千米 \u200b']"
84,28,84_啤酒_400_张凯_三人,"['啤酒', '400', '张凯', '三人', '酒瓶', '天喝', '居家', '悠着点', '有害', '饮酒']","['悠着点 居家 20 天喝 400 瓶 啤酒 近日 陕西 西安 受 疫情 影响 张凯 两 室友 居家 生活 20 天 三人 喝 400 多瓶 啤酒 张凯 介绍 三人 90 疫情 不便 出门 酒瓶 攒着 温馨 提示 过度 饮酒 有害 健康 L 时间 视频 微博 视频 \u200b \u200b \u200b', '悠着点 居家 20 天喝 400 瓶 啤酒 近日 陕西 西安 受 疫情 影响 张凯 两 室友 居家 生活 20 天 三人 喝 400 多瓶 啤酒 张凯 介绍 三人 90 疫情 不便 出门 酒瓶 攒着 温馨 提示 过度 饮酒 有害 健康 L 时间 视频 微博 视频 \u200b \u200b \u200b', '悠着点 居家 20 天喝 400 瓶 啤酒 近日 陕西 西安 受 疫情 影响 张凯 两 室友 居家 生活 20 天 三人 喝 400 多瓶 啤酒 张凯 介绍 三人 90 疫情 不便 出门 酒瓶 攒着 温馨 提示 过度 饮酒 有害 健康 时间 视频']"
85,28,85_三人_张凯_啤酒_400,"['三人', '张凯', '啤酒', '400', '居家', '攒着', '多瓶', '不便', '有害', '悠着点']","['悠着点 居家 20 天喝 400 瓶 啤酒 近日 受 疫情 影响 陕西 西安 张凯 两 室友 居家 生活 20 天 三人 喝 400 多瓶 啤酒 张凯 介绍 三人 90 疫情 不便 出门 酒瓶 攒着 温馨 提示 过度 饮酒 有害 健康 时间 视频 L 时间 视频 微博 视频 \u200b \u200b \u200b \u200b \u200b \u200b', '悠着点 居家 20 天喝 400 瓶 啤酒 近日 陕西 西安 受 疫情 影响 张凯 两 室友 居家 生活 20 天 三人 喝 400 多瓶 啤酒 张凯 介绍 三人 90 疫情 不便 出门 酒瓶 攒着 温馨 提示 过度 饮酒 有害 健康 时间 视频 L 时间 视频 微博 视频 \u200b', '悠着点 居家 20 天喝 400 瓶 啤酒 近日 陕西 西安 受 疫情 影响 张凯 两 室友 居家 生活 20 天 三人 喝 400 多瓶 啤酒 张凯 介绍 三人 90 疫情 不便 出门 酒瓶 攒着 温馨 提示 过度 饮酒 有害 健康 时间 视频 L 时间 视频 微博 视频 \u200b']"
86,28,86_骡马_微信_有人_馒头,"['骡马', '微信', '有人', '馒头', '馍店', '户县', '丹凤县', '群内', '网传', '不当']","['西安 通报 男子 微信 群 骂 买 馍 猪 公安机关 带走 调查 西安 馒头 协会 月 日 陕西 西安 一名 户县 馍店 微信 群内 有人 发布 不当 言论 网传 群聊 信息 显示 有人 称要 馒头 统一 涨价 骂 买 馒头 猪 鄠 邑 区 疫情 防控 指挥部 通报 相关 视频 多个 社交 平台 传播 引发 群众 \u200b', '西安 通报 男子 微信 群 骂 买 馍 猪 公安机关 带走 调查 西安 馒头 协会 月 日 陕西 西安 一名 户县 馍店 微信 群内 有人 发布 不当 言论 网传 群聊 信息 显示 有人 称要 馒头 统一 涨价 骂 买 馒头 猪 鄠 邑 区 疫情 防控 指挥部 通报 相关 视频 多个 社交 平台 传播 引发 群众 \u200b', '西安 通报 男子 微信 群 骂 买 馍 猪 公安机关 带走 调查 西安 馒头 协会 月 日 陕西 西安 一名 户县 馍店 微信 群内 有人 发布 不当 言论 网传 群聊 信息 显示 有人 称要 馒头 统一 涨价 骂 买 馒头 猪 鄠 邑 区 疫情 防控 指挥部 通报 相关 视频 多个 社交 平台 传播 引发 群众 \u200b']"
87,28,87_中小企业_力度_加大_帮扶,"['中小企业', '力度', '加大', '帮扶', '进一步', '政策措施', '人民政府', '出台', '失业', '房租']","['陕西省 出台 24 条 政策措施 进一步 加大 中小企业 纾 困 帮扶 力度 陕西省 人民政府 网站 消息 陕西 发布 陕西省 人民政府 办公厅 印发 进一步 加大 中小企业 纾 困 帮扶 力度 若干 措施 通知 出台 24 条 相关 政策措施 进一步 加大 助企纾困 力度 减轻 中小企业 负担 渡过难关 贯彻落实 党中央 \u200b', '减免 房租 给予 奖补 陕西省 人民政府 发布 通知 抗 疫情 西安 力量 月 14 日 陕西省 人民政府 网站 发布 陕西省 人民政府 办公厅 印发 进一步 加大 中小企业 纾 困 帮扶 力度 若干 措施 通知 出台 24 条 相关 政策措施 进一步 加大 助企纾困 力度 减轻 中小企业 负担 渡过难关 ↓ \u200b', '减免 房租 给予 奖补 陕西省 人民政府 发布 通知 抗 疫情 西安 力量 月 14 日 陕西省 人民政府 网站 发布 陕西省 人民政府 办公厅 印发 进一步 加大 中小企业 纾 困 帮扶 力度 若干 措施 通知 出台 24 条 相关 政策措施 进一步 加大 助企纾困 力度 减轻 中小企业 负担 渡过难关 ↓ \u200b']"
88,27,88_提倡_扫尾_过年_现阶段,"['提倡', '扫尾', '过年', '现阶段', '特征', '阶段', '今天下午', '44', '整体', '介绍']","['陕西 卫健委 提倡 过年 陕西 本轮 疫情 扫尾 阶段 今天下午 点 陕西 新冠 肺炎 疫情 防控 工作 44 场 新闻 发布会 介绍 近期 陕西 全省 疫情 防控 工作 情况 发布会 介绍 陕西 本轮 疫情 整体 扫尾 阶段 陕西省 卫健委 防疫 现阶段 特征 提倡 过年 非必要 外出 \u200b', '陕西 卫健委 提倡 过年 陕西 本轮 疫情 扫尾 阶段 今天下午 点 陕西 新冠 肺炎 疫情 防控 工作 44 场 新闻 发布会 介绍 近期 陕西 全省 疫情 防控 工作 情况 发布会 介绍 陕西 本轮 疫情 整体 扫尾 阶段 陕西省 卫健委 防疫 现阶段 特征 提倡 过年 非必要 外出 \u200b', '陕西 卫健委 提倡 过年 陕西 本轮 疫情 扫尾 阶段 今天下午 点 陕西 新冠 肺炎 疫情 防控 工作 44 场 新闻 发布会 介绍 近期 陕西 全省 疫情 防控 工作 情况 发布会 介绍 陕西 本轮 疫情 整体 扫尾 阶段 陕西省 卫健委 防疫 现阶段 特征 提倡 过年 非必要 外出 \u200b']"
89,27,89_治愈_康复_秦皇_医院,"['治愈', '康复', '秦皇', '医院', '第四', '转入', '监测', '831', '接受', '现有']","['陕西 疫情 快讯 西安 累计 治愈 831 月 14 日 下午 西安市 政府 西安市 新冠 肺炎 疫情 防控 工作 新闻 发布会 56 场 市 卫生 健康 委副 主任 吕永鹏 通报 疫情 防控 最新 情况 陕西 疫情 防控 月 13 日 24 时 累计 治愈 831 均 转入 西安 秦皇 医院 省 第四 人民 医院 接受 健康 监测 隔离 康复 现有 1208 例 确诊 病例 \u200b', '西安 累计 治愈 831 月 14 日 下午 西安市 政府 西安市 新冠 肺炎 疫情 防控 工作 新闻 发布会 56 场 市 卫生 健康 委副 主任 吕永鹏 通报 疫情 防控 最新 情况 陕西 疫情 防控 月 13 日 24 时 累计 治愈 831 均 转入 西安 秦皇 医院 省 第四 人民 医院 接受 健康 监测 隔离 康复 现有 1208 例 确诊 病例 市 胸科 医院 \u200b', '西安 累计 治愈 831 月 14 日 下午 西安市 政府 西安市 新冠 肺炎 疫情 防控 工作 新闻 发布会 56 场 市 卫生 健康 委副 主任 吕永鹏 通报 疫情 防控 最新 情况 陕西 疫情 防控 月 13 日 24 时 累计 治愈 831 均 转入 西安 秦皇 医院 省 第四 人民 医院 接受 健康 监测 隔离 康复 现有 1208 例 确诊 病例 市 胸科 医院 \u200b']"
90,27,90_五个_不退_全警_警线,"['五个', '不退', '全警', '警线', '战疫风', '凝聚', '警察', '力量', '一线', '抗疫']","['战疫风 警线 陕西 五个 一线 凝聚 全警 抗疫 力量 疫情 警察 不退', '战疫风 警线 陕西 五个 一线 凝聚 全警 抗疫 力量 疫情 警察 不退', '战疫风 警线 陕西 五个 一线 凝聚 全警 抗疫 力量 疫情 警察 不退']"
91,27,91_维护_全媒_新华_甘快,"['维护', '全媒', '新华', '甘快', '花式', '里氏', '核酸', '客户端', '秩序', '新华社']","['西安 高校 花式 维护 核酸 秩序 希望 疫情 早日 结束 近 一段时间 陕西 高校 多轮 核酸 检测 核酸 检测 时 维护 核酸 秩序 尤为重要 维护 核酸 现场 秩序 学校 功夫 贴 贴 改编 诗词 花式 喊话 核酸 纷纷 刷屏 做好 核酸 坚信 疫情 终将 散 静待 春暖花开 \u200b', '西安 高校 花式 维护 核酸 秩序 希望 疫情 早日 结束 近 一段时间 陕西 高校 多轮 核酸 检测 核酸 检测 时 维护 核酸 秩序 尤为重要 维护 核酸 现场 秩序 学校 功夫 贴 贴 改编 诗词 花式 喊话 核酸 纷纷 刷屏 做好 核酸 坚信 疫情 终将 散 静待 春暖花开 \u200b', '西安 高校 花式 维护 核酸 秩序 希望 疫情 早日 结束 近 一段时间 陕西 高校 多轮 核酸 检测 核酸 检测 时 维护 核酸 秩序 尤为重要 维护 核酸 现场 秩序 学校 功夫 贴 贴 改编 诗词 花式 喊话 核酸 纷纷 刷屏 做好 核酸 坚信 疫情 终将 散 静待 春暖花开 \u200b']"
92,26,92_门源_青海_emo_豫豫,"['门源', '青海', 'emo', '豫豫', '地震', '祈福', '课堂', '两次', '经历', '第一天']","['青海 门源 5.2 级 地震', '青海 门源 5.2 级 地震', '青海 门源 5.2 级 地震 \u200b']"
93,26,93_城中村_274_住户_个村,"['城中村', '274', '住户', '个村', '凹里村', '沙井', '小张', '涉及', '39', '暴发']","['西安 城中村 住户 确诊 274 例 ## 西安 城中村 社会 面 多发 局面 初步 控制 2022 年 月 日 下午 陕西省 人民政府 新闻 办公室 陕西省 新冠 肺炎 疫情 防控 工作 新闻 发布会 记者 发布会 获悉 西安 城中村 住户 共 确诊 274 例 涉及 39 个村 东 凹里村 沙井 村 南 小张 村 城中村 多个 聚集 性 暴发 点 潘 家庄 村 \u200b', '西安 城中村 住户 确诊 274 例 ## 西安 城中村 社会 面 多发 局面 初步 控制 2022 年 月 日 下午 陕西省 人民政府 新闻 办公室 陕西省 新冠 肺炎 疫情 防控 工作 新闻 发布会 记者 发布会 获悉 西安 城中村 住户 共 确诊 274 例 涉及 39 个村 东 凹里村 沙井 村 南 小张 村 城中村 多个 聚集 性 暴发 点 潘 家庄 村 \u200b', '西安 城中村 住户 确诊 274 例 ## 西安 城中村 社会 面 多发 局面 初步 控制 2022 年 月 日 下午 陕西省 人民政府 新闻 办公室 陕西省 新冠 肺炎 疫情 防控 工作 新闻 发布会 记者 发布会 获悉 西安 城中村 住户 共 确诊 274 例 涉及 39 个村 东 凹里村 沙井 村 南 小张 村 城中村 多个 聚集 性 暴发 点 潘 家庄 村 \u200b']"
94,26,94_开发区_区县_滞留_离市,"['开发区', '区县', '滞留', '离市', '非必要', '街道办', '高风险', '批准', '确需', '人员']","['抗击 疫情 陕西 新浪 晚报 抗击 疫情 特刊 月 11 日 消息 西安市 今日 公布 外地 滞留 人员 有序 市 政策 滞留 中 高风险 地区 区县 开发区 人员 市 滞留 区县 开发区 人员 非必要 不离市 确需 离市 须 街道办 镇 开发区 批准 持 48 小时 核酸 检测 阴性 证明 健康 码 \u200b', '抗击 疫情 陕西 新浪 晚报 抗击 疫情 特刊 月 11 日 消息 西安市 今日 公布 外地 滞留 人员 有序 市 政策 滞留 中 高风险 地区 区县 开发区 人员 市 滞留 区县 开发区 人员 非必要 不离市 确需 离市 须 街道办 镇 开发区 批准 持 48 小时 核酸 检测 阴性 证明 健康 码 \u200b', '抗击 疫情 陕西 新浪 晚报 抗击 疫情 特刊 月 11 日 消息 西安市 今日 公布 外地 滞留 人员 有序 市 政策 滞留 中 高风险 地区 区县 开发区 人员 市 滞留 区县 开发区 人员 非必要 不离市 确需 离市 须 街道办 镇 开发区 批准 持 48 小时 核酸 检测 阴性 证明 健康 码 \u200b']"
95,26,95_区委书记_雁塔_兼任_杨建强,"['区委书记', '雁塔', '兼任', '杨建强', '雁塔区', '市长', '免去', '职务', '同志', '免职']","['西安 雁塔区 区委书记 免职 西安 副 市长 杨建强 兼任 雁塔 区委书记 进一步 西安市 雁塔区 疫情 防控 工作 力量 省委 同意 西安市 副 市长 杨建强 兼任 雁塔 区委书记 免去 王斌 同志 雁塔 区委书记 职务 免去 崔诗 越 同志 雁塔区 委副 书记 区政府 党组书记 职务 西安 雁塔 区委书记 免职 陕西省 \u200b', '西安 雁塔区 区委书记 免职 西安 副 市长 杨建强 兼任 雁塔 区委书记 进一步 西安市 雁塔区 疫情 防控 工作 力量 省委 同意 西安市 副 市长 杨建强 兼任 雁塔 区委书记 免去 王斌 同志 雁塔 区委书记 职务 免去 崔诗 越 同志 雁塔区 委副 书记 区政府 党组书记 职务 西安 雁塔 区委书记 免职 陕西省 \u200b', '西安 雁塔区 区委书记 免职 西安 副 市长 杨建强 兼任 雁塔 区委书记 进一步 西安市 雁塔区 疫情 防控 工作 力量 省委 同意 西安市 副 市长 杨建强 兼任 雁塔 区委书记 免去 王斌 同志 雁塔 区委书记 职务 免去 崔诗 越 同志 雁塔区 委副 书记 区政府 党组书记 职务 西安 雁塔 区委书记 免职 陕西省 \u200b']"
